scaf0054177.1,Bradi2g25640.1|PACid:21808022,45.671641791
scaf0008345.1,Bradi1g27940.1|PACid:21822095,12.3076923077
scaf0391644.1,Bradi1g04700.1|PACid:21822585,0.487804878049
scaf0055033.2,Bradi1g31980.1|PACid:21820047,45.5729166667
scaf0262616.1,Bradi4g16290.1|PACid:21812153,34.1637010676
scaf0172254.1,Bradi4g43860.1|PACid:21812515,35.0453172205
scaf0335928.1,Bradi2g54817.1|PACid:21809660,25.3267973856
scaf0335928.2,Bradi1g47277.1|PACid:21815968,61.5330520394
scaf0214044.1,Bradi2g57657.1|PACid:21808390,12.5659050967
scaf0234876.1,Bradi3g00407.1|PACid:21829820,48.3372921615
scaf0426797.1,Bradi2g12870.1|PACid:21806911,48.0421686747
scaf0047127.2,Bradi3g29130.1|PACid:21828167,18.7739463602
scaf0047127.1,Bradi2g51530.1|PACid:21808819,14.0
scaf0208833.1,Bradi4g41100.1|PACid:21813337,55.1487414188
scaf0173922.1,Bradi2g12440.1|PACid:21807243,9.01162790698
scaf0146217.1,Bradi3g17010.1|PACid:21829758,59.5106550908
scaf0041684.1,Bradi4g23870.1|PACid:21811035,30.8035714286
scaf0391632.1,Bradi2g53590.1|PACid:21809574,6.12244897959
scaf0052453.3,Bradi4g28727.1|PACid:21814492,24.3902439024
scaf0146217.2,Bradi3g09180.1|PACid:21826858,40.7196969697
scaf0002413.1,Bradi4g41880.1|PACid:21813877,39.9168399168
scaf0022891.1,Bradi4g36530.1|PACid:21811912,14.7342995169
scaf0022891.2,Bradi3g08440.1|PACid:21828909,47.0238095238
scaf0115723.1,Bradi2g07650.1|PACid:21802970,16.170212766
scaf0115723.3,Bradi5g02110.1|PACid:21824243,29.8412698413
scaf0115723.2,Bradi5g02100.1|PACid:21824901,17.0658682635
scaf0040767.1,Bradi5g17527.1|PACid:21826009,34.5572354212
scaf0040767.3,Bradi3g00757.1|PACid:21831953,4.6943231441
scaf0075399.1,Bradi2g56910.1|PACid:21803109,46.3286713287
scaf0299814.1,Bradi1g58380.1|PACid:21818009,54.5205479452
scaf0258822.1,Bradi4g22230.1|PACid:21812205,49.8113207547
scaf0311495.2,Bradi1g14690.1|PACid:21817894,16.8918918919
scaf0311495.1,Bradi1g14677.1|PACid:21817108,22.7758007117
scaf0357801.1,Bradi1g36960.1|PACid:21821436,2.60663507109
scaf0019566.1,Bradi2g07640.1|PACid:21803403,26.6055045872
scaf0031024.1,Bradi1g53560.1|PACid:21819080,7.83898305085
scaf0031024.2,Bradi1g08177.1|PACid:21823610,39.0928725702
scaf0044031.1,Bradi1g70680.1|PACid:21815363,39.8514851485
scaf0362679.1,Bradi3g37790.1|PACid:21828322,8.12324929972
scaf0266923.1,Bradi1g68650.1|PACid:21822066,63.4517766497
scaf0183983.3,Bradi3g52460.2|PACid:21833145,3.59281437126
scaf0132773.3,Bradi1g07780.1|PACid:21821530,34.5565749235
scaf0349996.1,Bradi2g21420.1|PACid:21808995,34.5323741007
scaf0435876.1,Bradi3g43190.4|PACid:21831203,24.7422680412
scaf0356783.1,Bradi2g51940.1|PACid:21806954,54.9065420561
scaf0356783.2,Bradi4g26450.1|PACid:21813602,2.66203703704
scaf0105906.1,Bradi4g39650.1|PACid:21810054,14.7113594041
scaf0259362.1,Bradi1g75550.1|PACid:21817866,15.4034229829
scaf0259362.3,Bradi3g06253.1|PACid:21829355,16.8269230769
scaf0089543.2,Bradi1g77350.3|PACid:21819390,5.15759312321
scaf0230675.1,Bradi1g67600.1|PACid:21823073,42.2043010753
scaf0201325.1,Bradi1g54670.1|PACid:21820709,44.365192582
scaf0137357.1,Bradi3g35210.1|PACid:21827924,51.3572204126
scaf0137357.2,Bradi1g15650.1|PACid:21823051,45.8366375892
scaf0109249.2,Bradi4g14957.1|PACid:21811389,8.20895522388
scaf0316331.1,Bradi5g05900.1|PACid:21824609,36.7883211679
scaf0188362.1,Bradi5g00947.1|PACid:21826462,35.6083086053
scaf7363688.1,Bradi1g44870.1|PACid:21816509,37.1584699454
scaf0107261.1,Bradi3g11400.1|PACid:21833153,47.2573839662
scaf0435124.1,Bradi2g02610.2|PACid:21806634,19.9346405229
scaf0220994.1,Bradi1g23490.1|PACid:21819675,46.3312368973
scaf0168397.1,Bradi2g23017.1|PACid:21803557,18.7624750499
scaf0031351.1,Bradi5g27350.1|PACid:21825738,35.1254480287
scaf0436276.1,Bradi1g08840.1|PACid:21819291,33.9754816112
scaf0237560.2,Bradi4g17890.1|PACid:21812176,31.9865319865
scaf0148880.1,Bradi5g27410.1|PACid:21826593,26.1248185776
scaf0228948.1,Bradi4g08727.2|PACid:21813457,11.3788487282
scaf0174829.1,Bradi2g36550.2|PACid:21805673,27.4261603376
scaf0174829.2,Bradi4g03107.1|PACid:21811392,50.5263157895
scaf0328056.1,Bradi1g57370.1|PACid:21820479,16.610738255
scaf0085195.2,Bradi3g18410.1|PACid:21830490,53.2608695652
scaf0034512.1,Bradi4g03240.1|PACid:21813297,22.9885057471
scaf0166822.1,Bradi5g23110.1|PACid:21826050,29.8435619735
scaf0111589.2,Bradi2g45690.2|PACid:21809030,1.25
scaf0111589.1,Bradi2g12550.1|PACid:21807383,17.7949709865
scaf0196301.1,Bradi3g58720.1|PACid:21829852,23.7288135593
scaf0063265.1,Bradi1g45200.1|PACid:21818804,44.8844884488
scaf0057038.3,Bradi4g07430.1|PACid:21812755,34.5569620253
scaf0057038.2,Bradi3g02560.1|PACid:21830148,42.2867513612
scaf0057038.1,Bradi3g44780.1|PACid:21829528,47.6595744681
scaf0416683.1,Bradi1g70120.1|PACid:21823215,14.8717948718
scaf0416683.2,Bradi4g35376.1|PACid:21812864,54.011741683
scaf0416683.3,Bradi1g70950.1|PACid:21816689,17.3515981735
scaf0416683.4,Bradi1g73720.1|PACid:21823361,18.1286549708
scaf0074992.2,Bradi4g28280.1|PACid:21811843,33.1288343558
